Type,BodyPart,Equipment,Level,Title
4,13,2,2,1981
5,10,2,2,1630
4,3,4,2,685
5,14,2,2,2850
4,13,4,2,1060
4,14,4,2,1458
4,5,3,2,482
4,13,11,2,1511
2,13,11,0,2361
4,8,8,0,2043
4,13,11,2,1248
4,10,2,2,1148
4,10,0,2,297
4,14,4,2,183
4,10,4,2,1499
4,10,4,2,1285
5,10,2,2,2161
4,5,11,2,2878
4,5,2,2,610
4,16,4,2,3
4,10,1,2,599
4,0,2,2,2812
4,0,2,2,1959
4,5,1,2,1754
5,3,7,0,466
4,0,2,2,2159
4,0,2,2,1827
4,0,11,2,1603
4,13,2,2,2546
4,16,2,2,447
2,5,11,0,609
4,0,0,2,803
4,0,2,2,1930
4,13,2,2,1038
4,0,2,2,1157
4,14,9,2,1898
4,13,2,2,2809
4,5,0,2,306
4,0,2,2,326
4,0,2,2,1115
5,11,2,2,2845
4,0,2,2,2747
4,1,2,2,1944
5,16,2,0,2052
4,0,2,2,2340
0,14,2,2,2310
4,0,2,2,1322
4,10,11,0,2070
4,10,2,2,1027
4,11,3,2,71
4,10,4,2,2686
4,14,3,2,166
4,16,3,2,2755
4,16,4,2,762
4,11,2,2,56
5,0,2,2,573
4,0,2,2,543
4,0,2,2,1426
4,6,4,2,2646
4,3,4,2,651
4,0,2,2,2221
4,13,2,2,1068
4,4,9,2,2257
4,5,4,2,1670
4,9,4,2,1932
4,16,11,0,2664
4,0,1,2,330
4,16,4,2,738
4,3,1,2,360
4,9,1,2,2371
4,14,4,2,2396
4,5,2,0,2349
4,13,8,1,2408
4,14,1,2,367
4,13,2,2,1403
4,0,2,2,1064
4,14,4,2,1749
4,0,9,2,1891
2,5,2,0,2654
4,13,1,2,195
4,6,4,2,2343
4,11,1,2,2683
4,10,4,2,747
4,5,4,0,2035
4,0,2,2,2522
4,0,10,2,757
4,9,2,2,2004
4,5,6,0,456
4,13,4,2,2356
4,16,2,2,42
4,0,2,2,252
4,9,11,2,1290
4,13,11,2,2670
4,5,2,2,833
4,5,1,0,979
4,0,2,2,1123
4,13,0,2,327
4,13,9,2,2836
4,0,2,2,1975
4,13,0,0,969
4,3,1,2,218
4,3,3,2,511
4,1,2,2,2748
4,13,2,2,1155
4,0,11,2,1604
4,0,10,2,1912
4,0,2,2,1796
4,14,4,2,1140
4,13,2,2,1059
4,5,4,0,2205
4,10,2,2,2881
4,14,4,2,2390
4,3,1,0,337
4,5,2,2,1977
4,14,4,2,2657
4,11,3,2,177
4,13,4,2,672
4,14,3,0,487
4,14,1,2,2288
4,5,4,2,616
4,0,2,2,1538
4,7,4,2,1392
4,13,2,2,1355
4,16,2,2,2210
4,13,2,2,1356
4,9,2,2,2229
2,5,10,0,537
4,13,1,2,343
4,0,2,2,1019
4,13,2,2,1234
4,13,0,2,908
4,14,0,2,298
2,14,12,0,1771
6,13,11,0,2907
4,10,4,2,1284
4,14,1,2,2557
4,3,3,2,2054
4,5,9,2,2502
4,0,2,2,257
2,13,2,2,2234
4,3,5,2,20
4,0,11,2,835
4,9,9,2,2276
4,13,9,2,2300
4,0,3,2,80
4,0,11,2,2875
5,11,2,2,2527
4,9,2,2,2827
4,16,2,2,946
4,13,4,2,178
1,13,1,0,2511
4,13,1,2,1746
4,13,1,2,377
2,13,2,2,1699
4,13,2,2,2808
4,11,1,2,418
4,13,11,2,384
4,3,1,0,562
4,0,4,2,1361
4,13,2,2,1147
4,13,2,2,824
5,14,2,2,2313
4,16,4,2,2851
4,0,2,2,1412
2,13,2,2,2517
4,9,10,2,858
4,13,8,2,864
5,9,2,2,2029
4,16,9,2,2050
4,9,3,2,2589
4,5,11,2,1431
4,13,2,2,2002
4,14,4,2,677
4,14,3,2,2421
5,13,2,2,2572
4,16,3,2,2202
4,0,2,2,414
4,3,4,2,811
4,13,2,2,1223
4,13,2,2,1161
0,13,2,2,1210
4,0,1,2,613
4,8,4,2,688
4,13,2,2,1253
4,3,4,2,236
4,3,4,2,28
4,16,4,2,27
4,15,9,2,2485
4,14,0,0,1793
4,10,0,2,918
2,13,4,2,741
4,13,8,2,1737
4,0,11,2,2625
4,16,2,2,2066
4,13,4,2,718
4,12,2,0,1683
4,13,4,0,2355
4,1,2,2,1069
4,3,3,0,2186
4,8,2,2,449
4,13,2,2,460
4,13,4,2,1711
5,10,2,2,1631
4,13,2,2,1380
4,13,2,2,1921
4,3,0,2,320
4,15,1,2,358
4,14,4,2,1641
4,5,0,2,2235
4,9,8,2,850
5,4,2,0,1764
4,0,2,2,1332
4,13,4,2,1964
4,13,2,2,1043
4,11,1,2,421
4,0,3,2,198
4,3,1,2,433
4,13,9,2,2500
4,8,1,0,2513
4,0,8,2,1741
1,13,1,0,2020
4,10,2,2,1929
4,13,11,2,1602
4,13,8,2,2148
4,5,2,2,554
4,5,6,2,957
4,5,2,2,1978
4,0,8,2,896
4,13,12,2,2499
4,13,2,2,1496
5,8,2,0,1765
4,0,4,2,745
4,13,4,2,679
2,13,2,2,1705
4,14,4,2,2295
1,13,1,0,2136
4,11,4,2,2783
4,0,2,2,1181
4,5,4,2,2384
4,0,8,2,2765
4,0,2,2,1578
4,14,4,2,707
4,13,9,2,1807
4,0,2,2,1629
4,7,2,2,1124
1,8,1,0,2887
4,13,2,2,1414
2,8,2,2,1823
4,8,1,2,387
4,0,2,0,2082
4,0,2,2,1418
4,0,2,2,1353
4,13,2,2,2785
4,7,2,2,991
4,5,4,2,706
4,3,1,2,768
4,3,4,0,961
4,14,4,2,1653
4,0,4,2,2301
4,0,10,2,140
4,6,1,0,2595
2,13,2,2,2530
4,0,2,2,1974
3,8,1,2,998
5,8,2,2,2611
4,14,4,2,429
4,14,4,2,2165
4,11,3,2,66
4,5,0,2,317
4,14,3,2,2168
5,7,2,2,260
5,4,2,2,2104
4,7,2,2,1342
4,16,4,2,659
